X,Y,R,G,B,Temperature_C
0,631,123,177,10,937.7227722772277
0,632,119,176,11,936.8316831683169
0,633,119,176,11,935.940594059406
0,634,119,176,11,935.049504950495
0,635,119,176,11,934.1584158415842
0,636,119,176,11,933.2673267326733
0,637,115,174,13,932.3762376237623
0,638,115,174,13,931.4851485148515
0,639,115,174,13,930.5940594059406
0,640,115,174,13,929.7029702970297
0,641,111,173,15,928.8118811881188
0,642,111,173,15,927.9207920792079
0,643,111,173,15,927.029702970297
0,644,111,173,15,926.1386138613861
0,645,106,172,18,925.2475247524752
0,646,106,172,18,924.3564356435644
0,647,106,172,18,923.4653465346535
0,648,106,172,18,922.5742574257425
0,649,102,170,21,921.6831683168317
0,650,102,170,21,920.7920792079208
0,651,102,170,21,919.9009900990098
0,652,102,170,21,919.009900990099
0,653,97,168,24,918.1188118811881
0,654,97,168,24,917.2277227722772
0,655,97,168,24,916.3366336633663
0,656,97,168,24,915.4455445544554
0,657,97,168,24,914.5544554455446
0,658,92,166,27,913.6633663366337
0,659,92,166,27,912.7722772277227
0,660,92,166,27,911.8811881188119
0,661,92,166,27,910.990099009901
0,662,88,164,30,910.09900990099
0,663,88,164,30,909.2079207920792
0,664,88,164,30,908.3168316831683
0,665,88,164,30,907.4257425742574
0,666,83,162,34,906.5346534653465
0,667,83,162,34,905.6435643564356
0,668,83,162,34,904.7524752475247
0,669,83,162,34,903.8613861386139
0,670,79,160,38,902.9702970297029
0,671,79,160,38,902.0792079207921
0,672,79,160,38,901.1881188118812
0,673,79,160,38,900.2970297029702
0,674,73,158,43,899.4059405940594
0,675,73,158,43,898.5148514851485
0,676,73,158,43,897.6237623762376
0,677,73,158,43,896.7326732673267
0,678,73,158,43,895.8415841584158
0,679,69,156,47,894.9504950495049
0,680,69,156,47,894.059405940594
0,681,69,156,47,893.1683168316831
0,682,69,156,47,892.2772277227722
0,683,64,154,52,891.3861386138614
0,684,64,154,52,890.4950495049504
0,685,64,154,52,889.6039603960396
0,686,64,154,52,888.7128712871287
0,687,59,152,57,887.8217821782177
0,688,59,152,57,886.9306930693069
0,689,59,152,57,886.039603960396
